no,year,month,interest_rate,unemployment_rate,index_price
1,2006,1,5.51,9.95,1303.25
2,2019,5,8.18,3.52,2223.09
3,2014,1,6.85,6.88,1803.32
4,2010,8,7.32,9.79,872.58
5,2007,1,8.16,6.66,646
6,2020,11,9.01,7.41,442.42
7,2006,1,4.04,7.87,2359.32
8,2018,2,4.38,6.18,2477.5
9,2022,2,1.85,7.39,4456.32
10,2010,12,6.2,7.09,3252.61
11,2010,6,1.32,9.31,2876.01
12,2023,7,5.19,3.32,2204.27
13,2020,5,5.88,4.97,1768.44
14,2003,1,3.58,9.65,386.95
15,2007,1,6.32,9.23,1246.76
16,2023,3,1.27,6.19,148.05
17,2002,2,1.34,7.34,2071.38
18,2021,5,8.4,4.94,1531.28
19,2020,12,4.24,4.32,1331.71
20,2001,10,2.14,6.25,3494.74
21,2023,6,5.7,5.47,1079.86
22,2011,7,7.93,7.09,1554.74
23,2005,4,2.94,3.54,6133.78
24,2001,7,6.61,9.82,-879.01
25,2020,11,1.77,9.9,1527.45
26,2000,8,1.47,7.89,1931.54
27,2011,11,5.78,6.75,1217.03
28,2021,1,5.87,5.17,3035.25
29,2011,6,6.74,8.7,2148.33
30,2016,8,7.53,7.79,1928.64
31,2009,5,9.78,4.14,1078.66
32,2015,4,5.65,9.38,3489.85
33,2014,2,3.91,8.76,-180.24
34,2014,6,8.16,9.65,-559.63
35,2018,6,3.44,8.08,2057.73
36,2011,11,4.95,7.29,1912.39
37,2022,1,1.71,5.93,3367.04
38,2019,9,1.23,9.53,3475.13
39,2002,12,9.66,9.06,230.15
40,2004,11,8.52,3.32,2413.73
41,2018,6,7.26,3.18,1999.48
42,2006,3,4.68,5.64,2960.33
43,2020,4,2.56,8.67,1568.52
44,2008,12,2.41,9.91,1225.94
45,2006,11,3.25,4.05,3678.48
46,2017,4,5.94,7.16,2698.92
47,2003,3,7.43,5.67,-395.11
48,2013,10,6.94,9.79,1035.78
49,2017,3,3.52,8.89,1358.8
50,2008,3,9.59,8.87,1368.62
